variable,mean_percent_change,median_percent_change,states_increased,states_decreased
total_incidents,5.979201281035461,0.030995089886750614,32,19
white_victims,6.145486594563701,0.02131795296666879,30,21
black_victims,10.83710124731559,0.06404657933042213,37,14
nat_amer_victims,0.6285065195445163,0.1339541547277937,37,13
asian_victims,2.194303070483207,0.211484593837535,41,10
hispanic_victims,5.157442995367689,0.39939024390243905,49,2
other_race_victims,7.9714008964918746,0.12109744560075686,32,19
victims_age_18_29,4.631549938876067,-0.021880570409982175,22,29
victims_age_30_39,5.672813615027301,0.016166281755196306,31,20
victims_age_40_49,6.203692817265401,0.10448521916411825,46,5
victims_age_50_59,10.471787880747673,0.04794128860083873,37,13
victims_age_60_69,24.495468894458288,0.20833333333333334,48,3
victims_age_70_79,0.774357501956374,0.2983426340492722,47,3
victims_age_80_plus,0.760030739904689,0.3261501736111111,43,7
involving_firearm,40.52348797593927,-0.032133676092544985,22,28
sex_assaults,11.90451155493111,-0.26866096866096867,9,42
victim_offender_nonmarried_partner,9.923571062408937,-0.05471779405428694,17,34
victim_offender_rel_spouse,8.570132779878717,0.03618740534891351,33,17
dv_total,10.969538550991865,0.0005972466927464389,26,25
firearm_nonmarried,2.520216412908942,-0.030357142857142857,22,27
near_school,3.2747457135679485,0.8866120218579234,50,0
on_tribal_lands,0.055837590907035335,-0.125,8,16
fem_pop,0.0245219306300692,0.01793776423208288,49,2
white_pop,-0.018915789625979552,-0.018507545508809405,3,48
black_pop,0.003968812619157216,-0.0018388414112187302,24,27
nat_amer_pop,0.022024135781224353,-0.016453997282588964,23,28
asian_pop,0.058926845069631015,0.0691734029010969,44,7
hispanic_pop,0.11879329090838042,0.11082068963032288,47,4
other_race_pop,0.04255511564048497,0.05095445846509678,41,10
diversity_index,0.03592901012740011,0.029060836952116992,50,1
%_fem_age_18-29,-0.009449575496600643,-0.008134253906344752,13,38
%_fem_age_30-39,-0.001901941985166822,5.674528839601963e-05,27,24
%_fem_age_40-49,0.018357228543866504,0.010584960894290299,39,12
fem_age_50-59,-0.05984288103558241,-0.06116999831848311,1,50
fem_age_60-69,-0.011434188851241915,-0.008851065663451826,18,33
fem_age_70-79,0.07511658757186412,0.07472541724593218,50,1
fem_age_80+,0.07026434786303212,0.06982309539359305,49,2
age_coef_variation,-0.004119538522110529,-0.0031680571268137407,25,26
fem_poverty_rate,-0.037237898915376606,-0.0372093023255813,9,41
male_poverty_rate,-0.04503262127191517,-0.040816326530612276,8,41
poverty_gender_disparity_score,0.010182791892230788,0.015936505087163037,34,17
fem_labor_force_part,0.01773880741251819,0.01860138268256825,46,5
all_labor_force_part,0.013136762269670003,0.012915230104986866,46,5
labor_force_ratio,0.004545211868142628,0.004802903376403346,43,8
unemployment_rate,-0.25272882928116325,-0.25925925925925924,3,48
mhhi,0.15181983349234526,0.14898076165227672,51,0
%_at_least_bach_degree,0.04010314490601236,0.04194159829236579,48,3
%_at_least_high_school,0.00520569980602508,0.0045597771741083025,44,7
avg_years_schooling,0.00539178383027312,0.00569084333396953,47,4
gun_deaths_per_100k,0.034774642751513235,0.040337851305561154,31,18
white_adj_rate,5.97529406685107,0.024003964009395452,30,21
black_adj_rate,10.420923517261212,0.02488710017305562,30,21
nat_amer_adj_rate,0.5815531078673752,0.1884806000783585,38,13
asian_adj_rate,1.9193087721635849,0.18648457271619256,35,16
hispanic_adj_rate,4.5186494513709885,0.21113891033076068,43,8
